2026-08-06 13:43:01 | INFO     | emads.ui | Pipeline run started — dataset=real_estate_dataset.csv target_column=None
2026-08-06 13:43:02 | INFO     | emads.data_understanding_agent | >>> START agent=data_understanding_agent
2026-08-06 13:43:02 | INFO     | emads.data_understanding_agent | execute() started
2026-08-06 13:43:02 | DEBUG    | emads.data_understanding_agent | Loading dataset from: data\uploads\real_estate_dataset.csv
2026-08-06 13:43:02 | DEBUG    | emads.data_understanding_agent | Dataset loaded — shape: (500, 12)
2026-08-06 13:43:02 | INFO     | emads.data_understanding_agent | execute() complete — rows=500 cols=12 target='Price' problem_type='regression' quality_issues=0
2026-08-06 13:43:02 | INFO     | emads.data_understanding_agent | <<< END   agent=data_understanding_agent  status=OK
2026-08-06 13:43:02 | INFO     | emads.ui | Pipeline step completed — step=data_understanding (1/9)
2026-08-06 13:43:02 | INFO     | emads.eda_agent | >>> START agent=eda_agent
2026-08-06 13:43:02 | INFO     | emads.eda_agent | execute() started
2026-08-06 13:43:02 | DEBUG    | emads.eda_agent | Reading dataset from: data\uploads\real_estate_dataset.csv
2026-08-06 13:43:04 | INFO     | emads.eda_agent | Calling LLM for EDA summary (model=llama-3.1-8b-instant)
2026-08-06 13:43:04 | INFO     | emads.eda_agent | LLM EDA summary received (chars=1629, starts_with="Here's a concise summary of the dataset based on the provided schema statistics:")
2026-08-06 13:43:04 | INFO     | emads.eda_agent | execute() complete — plots=8 outlier_cols=0
2026-08-06 13:43:04 | INFO     | emads.eda_agent | <<< END   agent=eda_agent  status=OK
2026-08-06 13:43:04 | INFO     | emads.ui | Pipeline step completed — step=eda (2/9)
2026-08-06 13:43:04 | INFO     | emads.ui | LLM payload — eda_summary chars=1629 starts_with="Here's a concise summary of the dataset based on the provided schema statistics:"
2026-08-06 13:43:04 | INFO     | emads.preprocessing_agent | >>> START agent=preprocessing_agent
2026-08-06 13:43:04 | INFO     | emads.preprocessing_agent | execute() started
2026-08-06 13:43:04 | DEBUG    | emads.preprocessing_agent | Loading dataset from: data\uploads\real_estate_dataset.csv
2026-08-06 13:43:04 | INFO     | emads.preprocessing_agent | execute() complete — final_shape=(500, 12) dropped=0 imputed=0 encoded=0 scaling=StandardScaler
2026-08-06 13:43:04 | DEBUG    | emads.preprocessing_agent | Cleaned dataset saved to: data\outputs\clean_dataset.csv
2026-08-06 13:43:04 | INFO     | emads.preprocessing_agent | <<< END   agent=preprocessing_agent  status=OK
