2026-08-08 20:09:23 | INFO     | emads.llm | LLMService init: model=llama-3.1-8b-instant api_key_present=True api_key_source=LLM_API_KEY
2026-08-08 20:09:23 | INFO     | emads.llm | Groq client initialized successfully.
2026-08-08 20:09:23 | INFO     | emads.llm | LLMService init: model=llama-3.1-8b-instant api_key_present=True api_key_source=LLM_API_KEY
2026-08-08 20:09:23 | INFO     | emads.llm | Groq client initialized successfully.
2026-08-08 20:09:23 | INFO     | emads.llm | LLMService init: model=llama-3.1-8b-instant api_key_present=True api_key_source=LLM_API_KEY
2026-08-08 20:09:24 | INFO     | emads.llm | Groq client initialized successfully.
2026-08-08 20:09:24 | INFO     | emads.llm | LLMService init: model=llama-3.1-8b-instant api_key_present=True api_key_source=LLM_API_KEY
2026-08-08 20:09:24 | INFO     | emads.llm | Groq client initialized successfully.
2026-08-08 20:09:24 | INFO     | emads.llm | LLMService init: model=llama-3.1-8b-instant api_key_present=True api_key_source=LLM_API_KEY
2026-08-08 20:09:24 | INFO     | emads.llm | Groq client initialized successfully.
2026-08-08 20:09:24 | INFO     | emads.data_understanding_agent | >>> START agent=data_understanding_agent
2026-08-08 20:09:24 | INFO     | emads.data_understanding_agent | execute() started
2026-08-08 20:09:24 | DEBUG    | emads.data_understanding_agent | Loading dataset from: data/uploads/ambiguous_survey_v2.csv
2026-08-08 20:09:24 | DEBUG    | emads.data_understanding_agent | Dataset loaded — shape: (45, 5)
2026-08-08 20:09:24 | INFO     | emads.data_understanding_agent | execute() complete — rows=45 cols=5 target='satisfaction_rating' problem_type='classification' quality_issues=0
2026-08-08 20:09:24 | INFO     | emads.data_understanding_agent | <<< END   agent=data_understanding_agent  status=OK
2026-08-08 20:09:24 | INFO     | emads.eda_agent | >>> START agent=eda_agent
2026-08-08 20:09:24 | INFO     | emads.eda_agent | execute() started
2026-08-08 20:09:24 | DEBUG    | emads.eda_agent | Reading dataset from: data/uploads/ambiguous_survey_v2.csv
2026-08-08 20:09:25 | INFO     | emads.eda_agent | Calling LLM for EDA summary (model=llama-3.1-8b-instant)
2026-08-08 20:09:25 | INFO     | emads.llm | LLM request start: model=llama-3.1-8b-instant attempt=1 system_chars=328 user_chars=1421
2026-08-08 20:09:26 | INFO     | emads.llm | LLM response received: model=llama-3.1-8b-instant chars=1172
2026-08-08 20:09:26 | INFO     | emads.eda_agent | LLM EDA summary received (chars=1172, starts_with='**Dataset Summary**\n\n* **Dataset Shape:** The dataset consists of 45 rows and 5 ')
2026-08-08 20:09:26 | INFO     | emads.eda_agent | execute() complete — plots=4 outlier_cols=0
2026-08-08 20:09:26 | INFO     | emads.eda_agent | <<< END   agent=eda_agent  status=OK
2026-08-08 20:09:26 | INFO     | emads.preprocessing_agent | >>> START agent=preprocessing_agent
2026-08-08 20:09:26 | INFO     | emads.preprocessing_agent | execute() started
2026-08-08 20:09:26 | DEBUG    | emads.preprocessing_agent | Loading dataset from: data/uploads/ambiguous_survey_v2.csv
2026-08-08 20:09:26 | INFO     | emads.preprocessing_agent | execute() complete — final_shape=(45, 15) dropped=0 imputed=1 encoded=3 scaling=StandardScaler
2026-08-08 20:09:26 | DEBUG    | emads.preprocessing_agent | Cleaned dataset saved to: data\outputs\clean_dataset.csv
2026-08-08 20:09:26 | INFO     | emads.preprocessing_agent | <<< END   agent=preprocessing_agent  status=OK
2026-08-08 20:09:26 | INFO     | emads.model_selection_agent | >>> START agent=model_selection_agent
2026-08-08 20:09:26 | INFO     | emads.model_selection_agent | execute() started
2026-08-08 20:09:26 | DEBUG    | emads.model_selection_agent | Loading preprocessed data from: data\outputs\clean_dataset.csv
2026-08-08 20:09:32 | INFO     | emads.model_selection_agent | CV result — model=LogisticRegression score=0.2500±0.0000 metric=accuracy
2026-08-08 20:09:36 | INFO     | emads.model_selection_agent | CV result — model=DecisionTree score=0.2500±0.0680 metric=accuracy
2026-08-08 20:09:41 | INFO     | emads.model_selection_agent | CV result — model=RandomForest score=0.2222±0.1039 metric=accuracy
2026-08-08 20:09:41 | INFO     | emads.model_selection_agent | CV result — model=XGBoost score=0.1944±0.0393 metric=accuracy
2026-08-08 20:09:43 | INFO     | emads.model_selection_agent | CV result — model=LightGBM score=0.2778±0.0393 metric=accuracy
2026-08-08 20:09:43 | INFO     | emads.model_selection_agent | Wilcoxon p=1.0000 between 'LightGBM' and 'LogisticRegression' — no significant difference, escalating to LLM.
2026-08-08 20:09:43 | INFO     | emads.llm | LLM request start: model=llama-3.1-8b-instant attempt=1 system_chars=433 user_chars=196
2026-08-08 20:09:43 | INFO     | emads.llm | LLM response received: model=llama-3.1-8b-instant chars=411
2026-08-08 20:09:43 | INFO     | emads.model_selection_agent | LLM arbitration recommended 'LogisticRegression' over the tie-break default — switching selection.
2026-08-08 20:09:43 | INFO     | emads.model_selection_agent | Model selection complete: selected_model=LogisticRegression score=0.2500
2026-08-08 20:09:43 | INFO     | emads.model_selection_agent | <<< END   agent=model_selection_agent  status=OK
2026-08-08 20:09:43 | INFO     | emads.hyperparameter_agent | >>> START agent=hyperparameter_agent
2026-08-08 20:09:44 | INFO     | emads.hyperparameter_agent | <<< END   agent=hyperparameter_agent  status=OK
2026-08-08 20:09:44 | INFO     | emads.evaluation_agent | >>> START agent=evaluation_agent
2026-08-08 20:09:44 | INFO     | emads.evaluation_agent | execute() started
2026-08-08 20:09:44 | INFO     | emads.evaluation_agent | Evaluation metrics: {'accuracy': 0.3333333333333333, 'precision': 0.2888888888888889, 'recall': 0.3333333333333333, 'f1_score': 0.3055555555555556, 'roc_auc': 0.4907407407407407, 'confusion_matrix': [[0, 0, 0, 1, 0], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 2], [0, 0, 0, 2, 1]], 'cv_mean_accuracy': 0.27777777777777773, 'cv_std_accuracy': 0.0392837100659193, 'cv_ci_lower': 0.24334408770038873, 'cv_ci_upper': 0.31221146785516674}
2026-08-08 20:09:44 | INFO     | emads.evaluation_agent | <<< END   agent=evaluation_agent  status=OK
2026-08-08 20:09:44 | INFO     | emads.explainability_agent | >>> START agent=explainability_agent
2026-08-08 20:09:44 | INFO     | emads.explainability_agent | execute() started
2026-08-08 20:09:44 | DEBUG    | emads.explainability_agent | Loading data from data\outputs\clean_dataset.csv and model from data\outputs\models\selected_model.pkl
2026-08-08 20:09:44 | INFO     | emads.explainability_agent | Computing SHAP values (model=LogisticRegression sample_size=100)
2026-08-08 20:09:45 | INFO     | emads.explainability_agent | SHAP computation successful — top_features=['years_experience', 'age_group_60+', 'department_Support', 'open_feedback_Would like more remote work flexibility.', 'open_feedback_Very satisfied with growth opportunities.']
2026-08-08 20:09:45 | INFO     | emads.explainability_agent | SHAP/permutation agreement=-0.595 below threshold — escalating to LLM.
2026-08-08 20:09:45 | INFO     | emads.llm | LLM request start: model=llama-3.1-8b-instant attempt=1 system_chars=362 user_chars=614
2026-08-08 20:09:46 | INFO     | emads.llm | LLM response received: model=llama-3.1-8b-instant chars=2984
2026-08-08 20:09:47 | INFO     | emads.explainability_agent | Calling LLM for explainability summary (model=llama-3.1-8b-instant)
2026-08-08 20:09:47 | INFO     | emads.llm | LLM request start: model=llama-3.1-8b-instant attempt=1 system_chars=276 user_chars=708
2026-08-08 20:09:48 | INFO     | emads.llm | LLM response received: model=llama-3.1-8b-instant chars=1861
2026-08-08 20:09:48 | INFO     | emads.explainability_agent | LLM explainability response received (chars=1861, starts_with="Here's a structured explanation of the model's behavior in plain English:\n\n* **M")
2026-08-08 20:09:48 | INFO     | emads.explainability_agent | execute() complete — top_feature=department_Support shap_plots=1
2026-08-08 20:09:48 | INFO     | emads.explainability_agent | <<< END   agent=explainability_agent  status=OK
2026-08-08 20:09:48 | INFO     | emads.meta_evaluator_agent | >>> START agent=meta_evaluator_agent
2026-08-08 20:09:48 | INFO     | emads.meta_evaluator_agent | <<< END   agent=meta_evaluator_agent  status=OK
2026-08-08 20:09:48 | INFO     | emads.reporting_agent | >>> START agent=reporting_agent
2026-08-08 20:09:48 | INFO     | emads.llm | LLM request start: model=llama-3.1-8b-instant attempt=1 system_chars=196 user_chars=527
2026-08-08 20:09:48 | INFO     | emads.llm | LLM response received: model=llama-3.1-8b-instant chars=410
2026-08-08 20:09:49 | INFO     | emads.reporting_agent | <<< END   agent=reporting_agent  status=OK
