2026-07-22 17:05:08 | INFO     | emads.ui | Pipeline run started — dataset=prix_maisons2 - prix_maisons2.csv target_column=price
2026-07-22 17:05:11 | INFO     | emads.data_understanding_agent | execute() started
2026-07-22 17:05:11 | DEBUG    | emads.data_understanding_agent | Loading dataset from: data\uploads\prix_maisons2 - prix_maisons2.csv
2026-07-22 17:05:11 | DEBUG    | emads.data_understanding_agent | Dataset loaded — shape: (18, 5)
2026-07-22 17:05:11 | INFO     | emads.data_understanding_agent | execute() complete — rows=18 cols=5 target='price' problem_type='regression' quality_issues=0
2026-07-22 17:05:11 | INFO     | emads.ui | Pipeline step completed — step=data_understanding (1/8)
2026-07-22 17:05:11 | INFO     | emads.eda_agent | execute() started
2026-07-22 17:05:11 | DEBUG    | emads.eda_agent | Reading dataset from: data\uploads\prix_maisons2 - prix_maisons2.csv
2026-07-22 17:05:15 | INFO     | emads.eda_agent | Calling LLM for EDA summary (model=llama-3.1-8b-instant)
2026-07-22 17:05:17 | INFO     | emads.eda_agent | LLM EDA summary received (chars=1375, starts_with="Here's a concise summary of the dataset:\n\n* **Dataset Shape:** The dataset consi")
2026-07-22 17:05:17 | INFO     | emads.eda_agent | execute() complete — plots=7 outlier_cols=0
2026-07-22 17:05:17 | INFO     | emads.ui | Pipeline step completed — step=eda (2/8)
2026-07-22 17:05:17 | INFO     | emads.ui | LLM payload — eda_summary chars=1375 starts_with="Here's a concise summary of the dataset:\n\n* **Dataset Shape:** The dataset consi"
2026-07-22 17:05:17 | INFO     | emads.preprocessing_agent | execute() started
2026-07-22 17:05:17 | DEBUG    | emads.preprocessing_agent | Loading dataset from: data\uploads\prix_maisons2 - prix_maisons2.csv
2026-07-22 17:05:17 | INFO     | emads.preprocessing_agent | execute() complete — final_shape=(18, 6) dropped=0 imputed=1 encoded=1 scaling=StandardScaler
2026-07-22 17:05:17 | DEBUG    | emads.preprocessing_agent | Cleaned dataset saved to: data\outputs\clean_dataset.csv
2026-07-22 17:05:17 | INFO     | emads.ui | Pipeline step completed — step=preprocessing (3/8)
2026-07-22 17:05:17 | INFO     | emads.model_selection_agent | execute() started
2026-07-22 17:05:17 | DEBUG    | emads.model_selection_agent | Loading preprocessed data from: data\outputs\clean_dataset.csv
2026-07-22 17:05:32 | INFO     | emads.model_selection_agent | CV result — model=LinearRegression score=-398556.6423±261966.3604 metric=neg_root_mean_squared_error
2026-07-22 17:05:36 | INFO     | emads.model_selection_agent | CV result — model=DecisionTree score=-368335.2902±173500.5687 metric=neg_root_mean_squared_error
2026-07-22 17:05:37 | INFO     | emads.model_selection_agent | CV result — model=RandomForest score=-435643.6382±189091.1539 metric=neg_root_mean_squared_error
2026-07-22 17:05:37 | INFO     | emads.model_selection_agent | CV result — model=XGBoost score=-299892.5422±184019.5834 metric=neg_root_mean_squared_error
2026-07-22 17:05:41 | INFO     | emads.model_selection_agent | CV result — model=LightGBM score=-1069787.8987±393637.1446 metric=neg_root_mean_squared_error
2026-07-22 17:05:41 | INFO     | emads.model_selection_agent | Calling LLM for model selection summary (model=llama-3.1-8b-instant)
2026-07-22 17:05:42 | INFO     | emads.model_selection_agent | LLM model selection summary received (chars=1378, starts_with='Here are 6 concise bullet points explaining why XGBoost was selected as the best')
2026-07-22 17:05:42 | INFO     | emads.model_selection_agent | Model selection complete: selected_model=XGBoost score=-299892.5422
2026-07-22 17:05:42 | INFO     | emads.ui | Pipeline step completed — step=model_selection (4/8)
2026-07-22 17:05:42 | INFO     | emads.ui | LLM payload — model_selection_summary chars=1378 starts_with='Here are 6 concise bullet points explaining why XGBoost was selected as the best'
2026-07-22 17:05:45 | INFO     | emads.ui | Pipeline step completed — step=hyperparameter_optimization (5/8)
2026-07-22 17:05:45 | INFO     | emads.evaluation_agent | execute() started
2026-07-22 17:05:45 | INFO     | emads.evaluation_agent | Evaluation metrics: {'mae': 39467.484375, 'mse': 1919389184.0, 'rmse': 43810.83409386313, 'r2': 0.9972425699234009, 'cv_mean_neg_rmse': -289527.6109375, 'cv_std_neg_rmse': 202231.5864232152}
2026-07-22 17:05:45 | INFO     | emads.ui | Pipeline step completed — step=evaluation (6/8)
2026-07-22 17:05:45 | INFO     | emads.explainability_agent | execute() started
2026-07-22 17:05:45 | DEBUG    | emads.explainability_agent | Loading data from data\outputs\clean_dataset.csv and model from data\outputs\models\selected_model.pkl
2026-07-22 17:05:45 | INFO     | emads.explainability_agent | Computing SHAP values (model=XGBoost sample_size=100)
2026-07-22 17:05:46 | INFO     | emads.explainability_agent | SHAP computation successful — top_features=['area', 'rooms', 'city_Marrakech', 'city_Tanger', 'age']
2026-07-22 17:05:46 | INFO     | emads.explainability_agent | Calling LLM for explainability summary (model=llama-3.1-8b-instant)
2026-07-22 17:05:47 | INFO     | emads.explainability_agent | LLM explainability response received (chars=1653, starts_with="Here's a plain English explanation of the model's behavior:\n\n* **Area is the mos")
2026-07-22 17:05:47 | INFO     | emads.explainability_agent | execute() complete — top_feature=area shap_plots=1
2026-07-22 17:05:47 | INFO     | emads.ui | Pipeline step completed — step=explainability (7/8)
2026-07-22 17:05:47 | INFO     | emads.ui | LLM payload — explainability_summary chars=1653 starts_with="Here's a plain English explanation of the model's behavior:\n\n* **Area is the mos"
2026-07-22 17:05:48 | INFO     | emads.ui | Pipeline step completed — step=reporting (8/8)
2026-07-22 17:05:48 | INFO     | emads.ui | Reporting output — report_path=reports\EMADS_Report_20260722_170508.pdf
2026-07-22 17:05:48 | INFO     | emads.ui | Pipeline run completed successfully.
